address,enabled,comment
https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts,1,Migrated from /etc/pihole/adlists.list
https://raw.githubusercontent.com/PolishFiltersTeam/KADhosts/master/KADhosts.txt,1,
https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Spam/hosts,1,
https://v.firebog.net/hosts/static/w3kbl.txt,1,
https://adaway.org/hosts.txt,1,
https://v.firebog.net/hosts/AdguardDNS.txt,1,
https://v.firebog.net/hosts/Admiral.txt,1,
https://raw.githubusercontent.com/anudeepND/blacklist/master/adservers.txt,1,
https://v.firebog.net/hosts/Easylist.txt,1,
https://pgl.yoyo.org/adservers/serverlist.php?hostformat=hosts&showintro=0&mimetype=plaintext,1,
https://raw.githubusercontent.com/FadeMind/hosts.extras/master/UncheckyAds/hosts,1,
https://raw.githubusercontent.com/bigdargon/hostsVN/master/hosts,1,
https://v.firebog.net/hosts/Easyprivacy.txt,1,
https://v.firebog.net/hosts/Prigent-Ads.txt,1,
https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.2o7Net/hosts,1,
https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt,1,
https://hostfiles.frogeye.fr/firstparty-trackers-hosts.txt,1,
https://raw.githubusercontent.com/DandelionSprout/adfilt/master/Alternate%20versions%20Anti-Malware%20List/AntiMalwareHosts.txt,1,
https://v.firebog.net/hosts/Prigent-Crypto.txt,1,
https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Risk/hosts,1,
https://phishing.army/download/phishing_army_blocklist_extended.txt,1,
https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-malware.txt,1,
https://raw.githubusercontent.com/Spam404/lists/master/main-blacklist.txt,1,
https://urlhaus.abuse.ch/downloads/hostfile/,1,
https://lists.cyberhost.uk/malware.txt,1,
https://raw.githubusercontent.com/Turtlecute33/Toolz/master/src/d3host.txt,1,
https://cdn.jsdelivr.net/gh/hagezi/dns-blocklists@latest/adblock/pro.mini.txt,1,
